Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Morales-Corona, Juan G.",26655036900,Modeling integrin and plasma-polymerized pyrrole interactions: chemical diversity relevance for cell regeneration,"Serratos, I.N.| Olayo, R.| Millán-Pacheco, C.| Morales-Corona, J.| Vicente-Escobar, J.O.| Soto-Estrada, A.M.| Córdoba-Herrera, J.G.| Uribe, O.| Gómez-Quintero, T.| Arroyo-Ornelas, M.Á.| Godínez-Fernández, R.",11.0,56013689500| 7004460174| 14120132300| 26655036900| 57201380269| 57198316918| 57208655512| 57208643035| 55568579000| 57208649546| 57197897115,2019.0,2019-12-01,Scientific Reports,9,1,-,7009,ISSN-20452322,21100200805.0,Journal,Nature Publishing Group,English,1.39,15,7.2,7,1.341,7,1.94,60.0,20.0,0.46,19.65,25.0,49.0,0.0,0.0,"Serratos, I.N., Olayo, R., Millán-Pacheco, C. and 8 more (...) (2019).Modeling integrin and plasma-polymerized pyrrole interactions: chemical diversity relevance for cell regeneration. Scientific Reports,9(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85065443666&origin=resultslist,10.1038/s41598-019-43286-4,Article,Gold|Green,2-s2.0-85065443666,31065077,Universidad Autonoma del Estado de Morelos| Universidad Autónoma Metropolitana,505016| 505017,Academic,2.0,60028381| 60025626,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma del Estado de Morelos,56013689500,57197897115,26655036900,-,Mexico,1.0,1000,Multidisciplinary,-,-,-,-,-,-,MD,Multidisciplinary,MD,Multidisciplinary,-,Integrin Interactions in Cancer and Endothelial Dynamics,300,57.096,Integrin Dynamics in Cell Adhesion Mechanisms,4556,91.624,Defensible,Nacional,2.0
"Morales-Corona, Juan G.",26655036900,Effect of a plasma synthesized polypyrrole coverage on polylactic acid/hydroxyapatite scaffolds for bone tissue engineering,"Flores-Sánchez, M.G.| Islas-Arteaga, N.C.| Raya-Rivera, A.M.| Esquiliano-Rendon, D.R.| Morales-Corona, J.| Uribe-Juarez, O.E.| Vivar-Velázquez, F.I.| Ortiz-Vázquez, G.P.| Olayo, R.",9.0,57195735883| 57195740701| 6503984939| 57195740956| 26655036900| 57223050922| 57223109913| 57223110304| 7004460174,2021.0,2021-11-01,Journal of Biomedical Materials Research - Part A,109,11,2199-2211,-,ISSN-15493296,98028.0,Journal,John Wiley and Sons Inc,English,0.94,35,8.8,9,0.784,15,1.64,54.0,18.0,0.88,14.72,23.0,32.0,0.0,0.0,"Flores-Sánchez, M.G., Islas-Arteaga, N.C., Raya-Rivera, A.M. and 6 more (...) (2021).Effect of a plasma synthesized polypyrrole coverage on polylactic acid/hydroxyapatite scaffolds for bone tissue engineering. Journal of Biomedical Materials Research - Part A,109(11) 2199-2211",https://www.scopus.com/record/display.url?eid=2-s2.0-85104839413&origin=resultslist,10.1002/jbm.a.37205,Article,,2-s2.0-85104839413,33904255,Universidad La Salle| Universidad Autónoma Metropolitana,705325| 505017,Academic,2.0,60004252| 60014923| 126882336| 126882324,Universidad La Salle| Universidad Autónoma Metropolitana| Children’s Hospital Federico Gómez| New Sanatorium Durango,57195735883,7004460174,57195735883,-,Mexico,1.0,2204| 2502| 2503| 2506,Biomedical Engineering| Biomaterials| Ceramics and Composites| Metals and Alloys,4| 2,Natural Sciences| Engineering & Technology,433| 507,Materials Science| Biological Sciences,36,Engineering,31| 40| 34,Biological Sciences| Engineering| Chemical Sciences,-,-,-,Conductive Polymers and Their Multifaceted Applications,963,32.832,Conductive Polymers in Tissue Engineering Applications,11678,96.123,Weak,Nacional,2.0
"Morales-Corona, Juan G.",26655036900,Plasma Functionalized Scaffolds of Polyhydroxybutyrate Electrospun Fibers for Pancreatic Beta Cell Cultures,"Cortés-Ortiz, E.| Olayo-Valles, R.| Rodríguez-Talavera, R.| González-Torres, M.| Vargas-Muñoz, S.| Olayo, R.| Godinez-Fernández, R.| Uribe Juárez, O.E.| Morales-Corona, J.",9.0,57223040651| 7801614581| 56868075300| 47360936400| 7006769472| 7004460174| 57197897115| 57223050922| 26655036900,2021.0,2021-04-08,Frontiers in Materials,8,-,-,600738,ISSN-22968016,21100900363.0,Journal,Frontiers Media S.A.,English,0.9,38,3.7,32,0.664,33,2.26,51.0,17.0,1.13,9.75,24.0,25.0,0.0,0.0,"Cortés-Ortiz, E., Olayo-Valles, R., Rodríguez-Talavera, R. and 6 more (...) (2021).Plasma Functionalized Scaffolds of Polyhydroxybutyrate Electrospun Fibers for Pancreatic Beta Cell Cultures. Frontiers in Materials,8",https://www.scopus.com/record/display.url?eid=2-s2.0-85104662227&origin=resultslist,10.3389/fmats.2021.600738,Article,Gold|Green,2-s2.0-85104662227,-,Universidad Autónoma Metropolitana| Instituto Nacional de Rehabilitación| Universidad Nacional Autónoma de México,505017| 715278| 505023,Medical| Academic,3.0,60028381| 60014923| 60172283| 60032442| 60084250,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma Metropolitana| UNAM campus Juriquilla| Universidad Nacional Autónoma de México| Instituto Nacional de Rehabilitación,57223040651,26655036900,26655036900,-,Mexico,1.0,2501,Materials Science (miscellaneous),2,Engineering & Technology,433,Materials Science,36,Engineering,51| 40,Physical Sciences| Engineering,5104| 4016| 4018,Condensed matter physics| Materials engineering| Nanotechnology,-,Hydrogels and Bioprinting in Tissue Engineering,252,99.019,Biopolymer Applications in Drug Delivery Systems,23677,83.107,Defensible,Nacional,3.0
"Morales-Corona, Juan G.",26655036900,Electrospun PCL-protein scaffolds coated by pyrrole plasma polymerization,"Cruz, Y.| Muñoz, E.| Gomez-Pachón, E.Y.| Morales-Corona, J.| Olayo-Lortia, J.| Olayo, R.| Olayo-Valles, R.",7.0,57208623679| 56021846500| 55770188400| 26655036900| 36662635000| 7004460174| 7801614581,2019.0,2019-07-03,"Journal of Biomaterials Science, Polymer Edition",30,10,832-845,-,ISSN-09205063,16070.0,Journal,Taylor and Francis Inc.,English,0.67,53,4.3,33,0.582,43,1.02,33.0,16.0,0.7,14.39,30.0,39.0,0.0,0.0,"Cruz, Y., Muñoz, E., Gomez-Pachón, E.Y. and 4 more (...) (2019).Electrospun PCL-protein scaffolds coated by pyrrole plasma polymerization. Journal of Biomaterials Science, Polymer Edition,30(10) 832-845",https://www.scopus.com/record/display.url?eid=2-s2.0-85065329151&origin=resultslist,10.1080/09205063.2019.1603338,Article,,2-s2.0-85065329151,30943867,"Tecnológico Nacional de México, Mexico City| Universidad Autónoma Metropolitana| Instituto Tecnológico de Toluca| Universidad Pedagógica y Tecnológica de Colombia",719128| 505017| 714708| 700982,Academic,4.0,60077378| 60028381| 60029921| 60134870,Universidad Pedagógica y Tecnológica de Colombia| Universidad Autónoma Metropolitana -Unidad Iztapalapa| Instituto Tecnologico de Toluca| Tecnológico Nacional de México,57208623679,7801614581,7801614581,-,Mexico| Colombia,2.0,1304| 1502| 2204| 2502,Biophysics| Bioengineering| Biomedical Engineering| Biomaterials,5| 4| 2,Life Sciences & Medicine| Natural Sciences| Engineering & Technology,433| 219| 507,Materials Science| Engineering - Chemical| Biological Sciences,36| 32,Engineering| Life Sciences,40| 31,Engineering| Biological Sciences,4003| 3101,Biomedical engineering| Biochemistry and cell biology,-,Nanofibers and Their Multifunctional Applications,176,94.048,Electrospun Nanofibers in Biomedical Applications,295,99.749,Defensible,Internacional,3.0
"Morales-Corona, Juan G.",26655036900,Electrospun scaffolds with surfaces modified by plasma for regeneration of articular cartilage tissue: a pilot study in rabbit,"Islas-Arteaga, N.C.| Raya Rivera, A.| Esquiliano Rendon, D.R.| Morales-Corona, J.| Ontiveros-Nevares, P.G.| Flores Sánchez, M.G.| Mojica-Cardoso, C.| Olayo, R.",8.0,57195740701| 6503984939| 57195740956| 26655036900| 6505772673| 57195735883| 55846254900| 7004460174,2019.0,2019-12-12,International Journal of Polymeric Materials and Polymeric Biomaterials,68,18,1089-1098,-,ISSN-00914037,34587.0,Journal,Taylor and Francis Inc.,English,0.66,53,3.9,24,0.447,33,0.96,36.0,15.0,0.76,13.15,31.0,36.0,0.0,0.0,"Islas-Arteaga, N.C., Raya Rivera, A., Esquiliano Rendon, D.R. and 5 more (...) (2019).Electrospun scaffolds with surfaces modified by plasma for regeneration of articular cartilage tissue: a pilot study in rabbit. International Journal of Polymeric Materials and Polymeric Biomaterials,68(18) 1089-1098",https://www.scopus.com/record/display.url?eid=2-s2.0-85061770654&origin=resultslist,10.1080/00914037.2018.1534109,Article,,2-s2.0-85061770654,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381| 115797064| 118424168,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Health Research Division Children's Hospital of Mexico Federico Gomez| Morelense Child Hospital,57195740701,7004460174,7004460174,-,Mexico,1.0,1500| 1602| 2507,General Chemical Engineering| Analytical Chemistry| Polymers and Plastics,2| 4,Engineering & Technology| Natural Sciences,219| 409| 433,Engineering - Chemical| Chemistry| Materials Science,36| 37,Engineering| Physical Sciences,40| 34,Engineering| Chemical Sciences,-,-,-,Ankle Joint Cartilage Repair,325,62.067,Innovative Scaffolds for Cartilage Regeneration,19765,98.803,Defensible,UAM,1.0
"Morales-Corona, Juan G.",26655036900,Pyrrole plasma polymer-coated electrospun scaffolds for neural tissue engineering,"Osorio-Londoño, D.M.| Godínez-Fernández, J.R.| Acosta-García, M.C.| Morales-Corona, J.| Olayo-González, R.| Morales-Guadarrama, A.",6.0,57212003949| 6505991168| 25959834400| 26655036900| 7004460174| 55587200400,2021.0,2021-11-01,Polymers,13,22,-,3876,ISSN-20734360,54222.0,Journal,MDPI,English,1.15,25,5.7,23,0.726,17,0.66,24.0,14.0,0.65,15.48,28.0,41.0,0.0,0.0,"Osorio-Londoño, D.M., Godínez-Fernández, J.R., Acosta-García, M.C. and 3 more (...) (2021).Pyrrole plasma polymer-coated electrospun scaffolds for neural tissue engineering. Polymers,13(22) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85119276987&origin=resultslist,10.3390/polym13223876,Article,Gold|Green,2-s2.0-85119276987,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60014923,Universidad Autónoma Metropolitana,57212003949,55587200400,55587200400,-,Mexico,1.0,1600| 2507,General Chemistry| Polymers and Plastics,4,Natural Sciences,409| 433,Chemistry| Materials Science,37| 36,Physical Sciences| Engineering,34| 40,Chemical Sciences| Engineering,-,-,-,Conductive Polymers and Their Multifaceted Applications,963,32.832,Conductive Polymers in Tissue Engineering Applications,11678,96.123,Defensible,UAM,1.0
"Morales-Corona, Juan G.",26655036900,Scaffolds of polylactic acid/hydroxyapatite coated by plasma with polypyrrole-iodine for the generation of neo-tissue–bone in vivo: Study in rabbit,"Flores-Sánchez, M.G.| Raya-Rivera, A.M.| Esquiliano-Rendon, D.R.| Ontiveros-Nevares, P.G.| Islas-Arteaga, N.C.| Morales-Corona, J.| Olayo, R.",7.0,57195735883| 6503984939| 57195740956| 6505772673| 57195740701| 26655036900| 7004460174,2018.0,2018-05-03,International Journal of Polymeric Materials and Polymeric Biomaterials,67,7,427-437,-,ISSN-00914037,34587.0,Journal,Taylor and Francis Inc.,English,0.64,54,3.8,22,0.503,27,1.25,52.0,13.0,0.68,11.72,36.0,39.0,0.0,0.0,"Flores-Sánchez, M.G., Raya-Rivera, A.M., Esquiliano-Rendon, D.R. and 4 more (...) (2018).Scaffolds of polylactic acid/hydroxyapatite coated by plasma with polypyrrole-iodine for the generation of neo-tissue–bone in vivo: Study in rabbit. International Journal of Polymeric Materials and Polymeric Biomaterials,67(7) 427-437",https://www.scopus.com/record/display.url?eid=2-s2.0-85029705204&origin=resultslist,10.1080/00914037.2017.1342249,Article,,2-s2.0-85029705204,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381| 115796465| 118424168,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Health Research Division Children’s Hospital of Mexico Federico Gómez| Morelense Child Hospital,57195735883,7004460174,7004460174,-,Mexico,1.0,1500| 1602| 2507,General Chemical Engineering| Analytical Chemistry| Polymers and Plastics,4| 2,Natural Sciences| Engineering & Technology,409| 219| 433,Chemistry| Engineering - Chemical| Materials Science,36| 37,Engineering| Physical Sciences,34| 40,Chemical Sciences| Engineering,-,-,-,Proteomic Techniques for Biomarker Discovery and Analysis,469,57.685,Protein Sequencing Techniques and Applications,69507,1.772,Weak,UAM,1.0
"Morales-Corona, Juan G.",26655036900,Polymeric Scaffolds For Skin,"Ruiz-Velasco, G.| Martínez-Flores, F.| Morales-Corona, J.| Olayo-Valles, R.| Olayo, R.",5.0,57195379107| 8285961800| 26655036900| 7801614581| 7004460174,2017.0,2017-08-01,Macromolecular Symposia,374,1,-,1600133,ISSN-10221360,25943.0,Journal,Wiley-VCH Verlag,English,0.31,77,1,63,0.235,63,1.35,39.0,9.0,0.3,9.96,44.0,57.0,0.0,0.0,"Ruiz-Velasco, G., Martínez-Flores, F., Morales-Corona, J. and 2 more (...) (2017).Polymeric Scaffolds For Skin. Macromolecular Symposia,374(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85027550492&origin=resultslist,10.1002/masy.201600133,Article,,2-s2.0-85027550492,-,Universidad Autónoma Metropolitana| Instituto Nacional de Rehabilitación,505017| 715278,Medical| Academic,2.0,60028381| 60084250,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Instituto Nacional de Rehabilitación,57195379107,7004460174,26655036900,-,Mexico,1.0,1605| 2505| 2507| 3104,Organic Chemistry| Materials Chemistry| Polymers and Plastics| Condensed Matter Physics,4| 2,Natural Sciences| Engineering & Technology,249| 439| 409| 433,Engineering - Petroleum| Physics & Astronomy| Chemistry| Materials Science,37| 36,Physical Sciences| Engineering,34,Chemical Sciences,3403,Macromolecular and materials chemistry,SDG 3,Conductive Polymers and Their Multifaceted Applications,963,32.832,Conductive Polymers in Tissue Engineering Applications,11678,96.123,Very Good,Nacional,2.0
"Morales-Corona, Juan G.",26655036900,Evolution of Spinal Cord Transection of Rhesus Monkey Implanted with Polymer Synthesized by Plasma Evaluated by Diffusion Tensor Imaging,"Morales-Guadarrama, A.| Salgado-Ceballos, H.| Grijalva, I.| Morales-Corona, J.| Hernández-Godínez, B.| Ibáñez-Contreras, A.| Ríos, C.| Diaz-Ruiz, A.| Cruz, G.J.| Olayo, M.G.| Sánchez-Torres, S.| Mondragón-Lozano, R.| Alvarez-Mejia, L.| Fabela-Sánchez, O.| Olayo, R.",15.0,55587200400| 55989812100| 55989722400| 26655036900| 6504300011| 36088971600| 7101933223| 55993788200| 56013740400| 56013740500| 56004463800| 55307984500| 55307984100| 57188738377| 7004460174,2022.0,2022-03-01,Polymers,14,5,-,962,ISSN-20734360,54222.0,Journal,MDPI,English,1.16,23,6.6,24,0.72,23,1.2,31.0,8.0,0.52,15.48,36.0,48.0,0.0,0.0,"Morales-Guadarrama, A., Salgado-Ceballos, H., Grijalva, I. and 12 more (...) (2022).Evolution of Spinal Cord Transection of Rhesus Monkey Implanted with Polymer Synthesized by Plasma Evaluated by Diffusion Tensor Imaging. Polymers,14(5) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85126325080&origin=resultslist,10.3390/polym14050962,Article,Gold|Green,2-s2.0-85126325080,-,SSA Mexico| Consejo Nacional de Ciencia y Tecnologia Mexico| Hospital de Especialidades| Center for Research in Applied Chemistry| Universidad Autónoma Metropolitana| Instituto Mexicano del Seguro Social| Instituto Nacional de Investigaciones Nucleares| Instituto Nacional de Neurologia y Neurocirugia,720866| 704696| 505031| 703028| 505017| 505006| 505039| 505040,Medical| Government| Academic| Corporate,8.0,60028381| 60010532| 60019221| 60008467| 127836103| 60004064| 60000029| 60027998| 60029922,"Universidad Autónoma Metropolitana -Unidad Iztapalapa| Instituto Nacional de Investigaciones Nucleares| UMAE Hospital de Especialidades Centro Medico Nacional Siglo XXI| Instituto Mexicano del Seguro Social| Investigación Biomédica Aplicada S.A.S. de C.V| SSA Mexico| Instituto Nacional de Neurología y Neurocirugía| Secretaría de Ciencia, Humanidades, Tecnología e Innovación| Centro de Investigacion en Quimica Aplicada, Saltillo",55587200400,7004460174,7004460174,-,Mexico,1.0,1600| 2507,General Chemistry| Polymers and Plastics,4,Natural Sciences,433| 409,Materials Science| Chemistry,37| 36,Physical Sciences| Engineering,40| 34,Engineering| Chemical Sciences,-,-,-,Transcranial Magnetic Stimulation and Diffusion Imaging Insights,316,72.793,Diffusion Tensor Imaging in Spinal Cord Assessment,41607,65.976,Defensible,Nacional,8.0
"Morales-Corona, Juan G.",26655036900,Quartz Crystal Microbalance Application and In Silico Studies to Characterize the Interaction of Bovine Serum Albumin with Plasma Polymerized Pyrrole Surfaces: Implications for the Development of Biomaterials,"Serratos, I.N.| Luviano, A.S.| Millan-Pacheco, C.| Morales-Corona, J.| Alvarado Muñoz, E.J.| Campos-Terán, J.| Olayo, R.",7.0,56013689500| 57212550377| 14120132300| 26655036900| 58534111200| 6507073479| 7004460174,2023.0,2023-08-15,Langmuir,39,32,11213-11223,-,ISSN-07437463,26987.0,Journal,American Chemical Society,English,0.83,38,6.5,22,0.786,22,1.16,23.0,8.0,0.65,12.33,28.0,41.0,0.0,0.0,"Serratos, I.N., Luviano, A.S., Millan-Pacheco, C. and 4 more (...) (2023).Quartz Crystal Microbalance Application and In Silico Studies to Characterize the Interaction of Bovine Serum Albumin with Plasma Polymerized Pyrrole Surfaces: Implications for the Development of Biomaterials. Langmuir,39(32) 11213-11223",https://www.scopus.com/record/display.url?eid=2-s2.0-85167802172&origin=resultslist,10.1021/acs.langmuir.3c00308,Article,Hybrid gold|Green,2-s2.0-85167802172,37526362,Universidad Autonoma del Estado de Morelos| Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505016| 505017| 505023,Academic,3.0,60028381| 60032442| 60025626| 60024080,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Nacional Autónoma de México| Universidad Autónoma del Estado de Morelos| Universidad Autónoma Metropolitana Unidad Cuajimalpa,56013689500,7004460174,6507073479| 7004460174,-,Mexico,1.0,1603| 1607| 2500| 3104| 3110,Electrochemistry| Spectroscopy| General Materials Science| Condensed Matter Physics| Surfaces and Interfaces,2| 4,Engineering & Technology| Natural Sciences,433| 409| 439,Materials Science| Chemistry| Physics & Astronomy,36| 37,Engineering| Physical Sciences,MD,Multidisciplinary,MD,Multidisciplinary,-,Nanofibers and Their Multifunctional Applications,176,94.048,Protein Adsorption Dynamics on Various Surfaces,9655,73.42,Definitive,Nacional,3.0
"Morales-Corona, Juan G.",26655036900,Effect of pyrrole implants synthesized by different methods on spinal cord injuries of rats,"Álvarez-Mejía, L.| Salgado-Ceballos, H.| Olayo, R.| Cruz, G.J.| Olayo, M.G.| Díaz-Ruiz, A.| Ríos, C.| Mondragón-Lozano, R.| Morales-Guadarrama, A.| Sánchez-Torres, S.| Morales Corona, J.",11.0,55307984100| 55989812100| 7004460174| 56013740400| 56013740500| 55993788200| 7101933223| 55307984500| 55587200400| 56004463800| 26655036900,2015.0,2015-01-01,Revista Mexicana de Ingenieria Biomedica,36,1,7-21,-,ISSN-01889532,21100200412.0,Journal,Sociedad Mexicana de Ingenieria Biomedica,English,0.34,73,0.3,93,0.127,94,1.21,52.0,8.0,0.1,9.58,46.0,67.0,0.0,0.0,"Álvarez-Mejía, L., Salgado-Ceballos, H., Olayo, R. and 8 more (...) (2015).Effect of pyrrole implants synthesized by different methods on spinal cord injuries of rats. Revista Mexicana de Ingenieria Biomedica,36(1) 7-21",https://www.scopus.com/record/display.url?eid=2-s2.0-84921470697&origin=resultslist,-,Article,,2-s2.0-84921470697,-,Universidad Autónoma Metropolitana| Instituto Mexicano del Seguro Social| Instituto Nacional de Investigaciones Nucleares| Instituto Politécnico Nacional,505017| 505006| 505039| 505011,Academic| Government,4.0,100598612| 60028381| 60008467| 60010532| 130302679| 60019176| 114912914,Depto. de Ing. Eléctrica| Universidad Autónoma Metropolitana -Unidad Iztapalapa| Instituto Mexicano del Seguro Social| Instituto Nacional de Investigaciones Nucleares| INNN Manuel Velasco Suárez| Instituto Politécnico Nacional| Centro Nacional de Investigacion en Imagenologia e Instrumentacion Medica,55307984100,26655036900,26655036900,-,Mexico,1.0,2204,Biomedical Engineering,2,Engineering & Technology,507,Biological Sciences,36,Engineering,32| 40,Biomedical And Clinical Sciences| Engineering,4003| 4007| 3209,"Biomedical engineering| Control engineering, mechatronics and robotics| Neurosciences",-,Conductive Polymers and Their Multifaceted Applications,963,32.832,Conductive Polymers in Tissue Engineering Applications,11678,96.123,Very Good,Nacional,4.0
