Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2017.0,1,2.0,2.0,2.0,2,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0
2018.0,1,5.0,5.0,2.0,2,2,0,1,0,0,1,0,0.5,0.0,0.0,0.0
2019.0,1,2.0,2.0,2.0,2,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0
2020.0,3,11.0,3.67,2.0,3,5,0,1,0,1,2,0,0.8,0.0,0.3333333333333333,0.0
2021.0,2,4.0,2.0,1.5,3,2,0,1,1,1,0,0,0.5,0.0,0.5,0.5
2022.0,4,16.0,4.0,2.0,5,4,3,2,0,1,0,3,0.42857142857142855,0.2857142857142857,0.25,0.0
2023.0,2,2.0,1.0,2.5,3,2,1,2,0,1,0,1,0.3333333333333333,0.0,0.5,0.0
2024.0,1,0.0,0.0,2.0,2,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0
